singer,name,lyrics,moodCat
y1fun9,寄給你的其中一封信,"['feat. 林品璇', '記住 remember', '人生的學分永遠不止一門課', '這個故事剛剛開始', '記錄在一張張白紙 的軌跡', '這飛機 剛剛起飛 飛向你希望的未來', '儘管夢想還很遙遠 多少感到疲倦', '多少違背自己的意願 我找不到理由', '去接受 去結果 去面對', '大人阻擋的理由沒有邏輯天花又亂墜', 'so what u gotta do now', '勇敢的對他們說不要', '還是像個待宰羔羊一樣', '讓他們餵你毒藥 侵蝕掉你的思想', '人活一輩子難道真的只能這樣', 'wow wow 不想要 我不要', '我想當我人生獨一無二的主角', '時間走的太快 人生過的太慢', '人生漫漫路途遙遙', '我還是一樣', '還是會站在這裡', '望著遙不可及的氣象 夕陽', '照亮了還沒實現的理想', '回來了在幾年後', '你還能不能記得我們曾經的故事', '走過的路子 印象中是你不變的固執', '還來不及阻止 你卻慢慢淡出我的故事', '現場的所有人都別難過 現在請讓我看到你的手', '沒什麼理由能讓我記住 走過了多少個春夏秋冬', '放心這不是結束 是通向一條 全新的道路', '在未來哪個時候 何時才能見到你', '見證了歷經滄桑歲月 和斑駁', '坐下來喝杯酒 談談你的這些年的經過', ""Today's graduation day 身後的白髮蒼蒼還在繼續不停追"", '你有多少迷茫 多少困擾 多少別人想像不到的在阻撓', '你未來的前途光芒 多少的嚮往', '正在努力的伸張 聚焦在身上的燈光', '放心大多事情都死不了 想像的榮耀', '閃爍在你身旁', '你是否會難過 你是否會哭泣', '好像看到你在眼中在閃爍的星星', '亮晶晶 要仔細聽聽', '離開的時候要腳步輕輕', '為了不讓你們擔心 我會變得更有勇氣', '有始有終才會顯得更有意義', '未來在哪裡 想像需要一點調劑', '這是寄給你的其中一封信', '鹹味的淚水瀰漫在空氣', '很多人有美好的憧憬', '沈浸在幻想的夢境', '希望這首歌曲能夠被你聽到', '我有多?想你 你知不知道', '期待哪天在路上能和你遇到', '再跟你問聲好 跟你聊聊 希望', '在未來哪個時候 何時才能見到你', '見證了歷經滄桑歲月 和斑駁', '坐下來喝杯酒 談談你的這些年的經過', '在未來有個時候 總算見到你', '見證了歷經滄桑歲月', '坐下來喝杯酒 讓我們回想以前快樂的時候']",哀
y1fun9,現在的人們真的愛裝睡,"['check check one n two', '不用太多招數發光發熱', '在舞台上引人注目', '燈光朝我聚焦 煙霧隨我升高', '快門為我停留好幾秒', '既生瑜 何生亮', '現代人笑貧不笑娼', '聽眾愛的不是我愛的', '市場要的不是我要的', '真的好爛 好難聽 口齒不清', '也沒幾個得意的作品', '就算真的有一首好了', '那首也是蹭別人熱度才得到的作品', '沉思了整天整夜', '整夜的一整晚不能入眠', '哪一天有個小小希望', '只為了能爬到地上', '捫心自問 我有鑽研歌詞嗎', '我有讓自己打出一點節奏嗎', '我有讓更多的人知道我的歌嗎', '有讓他們知道我的存在嗎', '這所有的解答 不好說', '但還是怯怕 不好過', '讓思緒飛走 不再懦弱', '做自己唯一的英雄', '現在的人們真的愛裝睡', '被窮鬼附身還要開光費', '現在的人們真的愛裝睡', '迂腐的思想真應該荒廢', '聽不見 聽不見 聽不見 聽不見', '人們的趨向性總是會視而不見', '一窩蜂地成群結隊 狐群狗黨', '還不知道聽的是哪位', '他鍵盤的手下冤魂', '殺了個魂不留神', '幾秒鐘 幾秒鐘一句', '只剩下最後一口氣', 'Time to woke up 時辰已到', '躺著的眼珠子還在掙扎', '想要在背後追殺我好幾遍', '還不如放暗話的下賤', '沒有誰比誰更偉大', '沒有人比人更發達', '人比人會氣死人', '所以閉嘴不要說話', '真的看不下去', '怎麼有這麼多烏合之眾', '除了跟風 什麼也不是', '沒有目標 只會耗在網路上', '逛批踢踢 尋找安全感', '慢慢地看不見', '電腦螢幕的面前', '慢慢地看不見', '一張一張的臉', '現在的人們真的愛裝睡', '被窮鬼附身還要開光費', '現在的人們真的愛裝睡', '迂腐的思想真應該荒廢']",喜
y1fun9,記得快樂,"['feat. 蘇雨琴', '腦子裡想了很多遍 還是沒想到該說的話 為什麼呢', '總不可能讓我一直這樣繼續下去吧', '還是會導致考試分數往下掉落加劇吧', '每天每天 我都把自己關在門後面', '為了不讓別人發現 我也沒有力氣睜開眼', '心臟和脈搏 彷彿要把我帶出人世間', '回過頭來 我也沒有勇氣面對', '這麼多的人潮人群經過', '也在希望我努力 但是', '這種壓力太大了 我也真的盡力了', '不想再為了誰而選擇掙扎', '也才真的體會到言語的可怕', '別再說我想的太多', '也別叫我放輕鬆', '要是能真的做得到我早就做了', '我只希望你能夠在我旁邊 陪我說說話', '哪怕只有你的呼吸聲 這樣子好像也不錯', '還真是對不起了 我先提早離開', '來到這城市真是我的意外', '當初的期待 不像開始那樣瀰漫', '在黑夜中離開 搭上倒數第二班的火車', '明明知道目的地 紫色藥丸又沒了', '感覺活著 也沒有了意義', '活生生成了藥罐子 也沒了記憶', '我好像也沒跟誰講過這個秘密', '但是我好想你們 尤其是你', '要做出這種決定真的', '我真的不知道', '我真的好難放下', '跟你們一起的每一分每一秒', '要是完全切割了 要怎麼去綠島', '我還是不是人文的一份子', '在火車十分鐘的車程 好像是一輩子', '要怎麼 去浪費接下來的一陣子', '只想要 你能接起電話聽我說著往事', '我好想你 而你在哪裡', '你是否快樂是否憂傷', '想要在意', '我好想你 卻找不到你的蹤跡', '心臟的壓抑 快要克制不住我的壓力', '我只想要接起電話能夠聽到你的聲音', '但反覆 我也知道你的難處', '只留下一個單獨的我看著天空烏雲在漫佈', '我該怎麼去闡述 我的痛苦 我的呼吸', '在中午 難受的倒地不起', '誰能來救救我 受夠了蘿拉還有贊安諾', '我想見到你 在櫻花樹下的午後', '我忘記是誰提醒了我要記得快樂', '你還在不在 我好想你 你應該知道吧', '聽到你的聲音也好 至少那是指引我的信號', '每天的明早 都會等你敲響我的門鈴', '是不是我想的太多 我也不想', '是不是我必須離開 我也不想要', '如果沒了太陽 要怎麼照亮月亮', '好想讓星星擦乾你的眼淚 不要再憂傷', '我好想你 而你在哪裡', '你是否快樂是否憂傷', '想要在意', '我好想你 卻找不到你的蹤跡', '會不會忘記', '我想要快樂', '請記得快樂', '誰能給我快樂']",哀
y1fun9,快樂維尼,"['在世界上的每個人 都有資格應該獲得保護', '不該為了某些人的利益在任性', '大快朵頤冷血又殘酷 忽視', '看不到的角落的權益 妖魔化的解釋跳脫了本意', '真的太糟糕 言語又老套 搞的我也不知道', 'who cares that', 'WHO SHOULD CARE THAT', '難道世衛存在只是為了作廢', '舊時代的規則跟國聯一樣應該被摧毀 你說對不對', '腐敗的體制懶得改', '維尼的走狗譚德塞', '繼續啊繼續收錢就完事', '反正以後就會被中國政府管制', '危險的時刻非常時期', '怎麼還有烏合之眾在搞事情', '沒有實際作為還在叨叨逼逼 應該過去人大', '讓維尼把你的腦袋洗洗', '反正留著也沒有用', '手指夾到門也不會痛', '韓國來的魚兒游啊游啊游', '跟著白海豚游到武漢走', '去回到你的祖國懷抱', '別拉我們下水', '吃碗內看碗外的人們應該', '被人民拉下位', '說 對不起所有台灣人', '在兩千三百萬的人們面前下跪', '說多少次也沒有用', '反正遲早應該下墜', 'Winnie happy', '別讓維尼不開心', 'Winnie happy', '小心維尼在看著你', 'Winnie happy happy', 'Every pinky gonna killing me', 'Taiwan can help', 'Anything else', '一句話說到就到', 'Winnie happy', '別讓維尼不開心', 'Winnie happy', '小心維尼在看著你', 'Winnie happy happy', 'Every pinky gonna killing me', 'WHO', 'Winnie Happy Organization', '哇尬哩供 你現在是在工三小', '反正我在說什麼你安抓也聽不懂', '不是井底之蛙 但至少還能找到真相', '一群沒有腦袋只會跟風的小粉紅', '連翻牆也不會翻 就算找到新聞也不會看', '都是美國惹的禍 一切都是台獨港獨廢青的錯', '每天每天一直重復 你是不是復讀機', '偉大的牆國母親真的好牛逼 不只盛產玻璃還有瓷器', '拜託拜託別再玻璃心', '全世界七十多億人口承受不起', '你厲害你有錢又怎樣', '反正還是不夠GDP', '對不起 中國湖北武漢肺炎 為你正名', '改個名字又新又冠疫情還是會繼續下去', '日本腦炎 德國麻疹 非洲豬瘟 香港腳也是地名', 'covid-19只是代表 改名字也不會好到哪去', '我找不到5和4 隔離也沒有了武漢市 江漢區', '的海鮮市場找不到蝙蝠 花了43天', '所有的人被搬到火神山 再丟去方艙醫院火化', '一切的一切只有一個目的 就是為了要讓', 'Winnie happy', '別讓維尼不開心', 'Winnie happy', '小心維尼在看著你', 'Winnie happy happy', 'Every pinky gonna killing me', 'Taiwan can help', 'Anything else', '一句話說到就到', 'Winnie happy', '別讓維尼不開心', 'Winnie happy', '小心維尼在看著你', 'Winnie happy happy', 'Every pinky gonna killing me', 'WHO', 'Winnie Happy Organization']",愛
y1fun9,我想要飛,"['今天晚上 我想要飛', '飛到那個你最愛的天邊', '今天晚上 我想要飛', '度過快樂的那一瞬間', '今天的夜晚 好像不太適合飛', '不太適合飛 所以我在家裡睡', '睡過了一天又一天 不知道過了幾個時節', '一覺醒來 又過了下午四五點', '慢慢地 慢慢地 慢慢地 所以我分不清', '那天晚上的事 到底應該講給誰聽', '放不下心 沒有關係', '沒有關係 喝的大醉酩酊', '從來不管別人的名利', '也不需要在意', '不在燈紅酒綠裡也照樣能開party', '不被世俗綁架 玫瑰花會開花', '就算多想念它 也不會想要佔有它', '不是你或他或誰 也不懂人們想法', '反正有想法的都會自動閉上嘴巴', '如果所言不假 那就必須回答', '度過今晚的話 也許我們可以', '今天晚上 我想要飛', '飛到那個你最愛的天邊', '今天晚上 我想要飛', '度過快樂的那一瞬間', '有的時候 我總是一直在想', '為什麼天上會有月亮太陽', '有的時候 我總是一直在想', '不知道該怎麼做才能夠發達', '麻煩交給夜晚 快樂送給天亮', '管他一直迷茫 還是今晚喝掛', '也不知道明天究竟會是什麼解答', '丟掉所有只要專注放手一博', 'Im so cofused 在十字路口間迴盪', '夢想的重量 自由和理想', '夜晚什麼時候到 來去自如風吹', '草動般野望在生長', '沒有在聽 眼皮漸漸沒有力氣', '牆上掛著的時鐘老是滴答滴答滴', '早知道我們相見恨晚 何時來日方長', '下次再見到誰也不逢場作戲', '今天晚上 我想要飛', '飛到那個你最愛的天邊', '今天晚上 我想要飛', '度過快樂的那一瞬間']",愛
y1fun9,今天，我們活著,"['天花板的雲彩 粉紅色的裙擺', '戴上耳麥 徜徉在人間雲海', '那一天 一切都與我無關', '那一天 美好的如夢如幻', '在明天還是那天到來以前', '看天上星星多耀眼', '而未來我們會在哪一邊', '世界的劇本怎麼去表演', '再多問幾遍', '怎麼世界變得這麼陰險', '凡可不要在意 失去身邊', '但能珍惜 目光所及擁有的光景', '高樓一層一層建起 鐵軌逐漸高入白雲', '身旁的長輩也正白髮蒼蒼般老去', '日復一日 場景依然天藍草綠', '時鐘的指針只向前行不會倒敘', 'Today we alive', 'Today we survive', '明天是期待或者是意外', 'Today we alive', 'Becoming the light', '只因為愛 會無所不在', 'Today we alive', 'Today we survive', '明天是期待或者是意外', 'Today we alive', 'Becoming the light', '只因為愛 會無所不在', '眼睛的世界都是反的顏色', '好像都在琢磨我的天真', '還有時間 可以慢慢來 anything pass by', 'welcome to real life', '目之所及所有一切 似乎 都圍繞著你的光芒', '媽媽說 先低調 不要太過張揚', '也不要太慌張 太徬徨 太迷茫 還想唱', '你以前最愛唱的那首歌謠 給我指引方向', '是童年的小叮噹 好想跟他借竹蜻蜓', '能讓我在天空中自由翱翔', '如果有個電話亭 能不能告訴我', '長大後的自由 還能不能想起現在這個時候', '如果不要長大多好', '如果保持這樣就好', '可不可以讓我暫停時間', '就算一秒也好 讓我跟你講話也好', '這一切的一切 只為了追逐看不到的明天', '太陽正下著雨 晴天也淋濕了陰天', '而你和我和你 也只有和藹可親一面', '難道月老牽了紅線 讓日常一瞬輾轉', '晃眼過去', '又過了一日又一夜', '看不清了視線 走路也撞撞跌跌', '比誰更心口直快 比誰更不會意外', '只是感謝自己目前為止遇到的所有', 'Today we alive', 'Today we survive', '明天是期待或者是意外', 'Today we alive', 'Becoming the light', '只因為愛 會無所不在', 'Today we alive', 'Today we survive', '明天是期待或者是意外', 'Today we alive', 'Becoming the light', '只因為愛 會無所不在']",愛
y1fun9,星期五的晚上,"['I feeling slowly slowly', '想著要怎麼吸引你注意 著我 耳後', '輕輕地吐息 突襲了我 想要 快樂又折磨', '只有你和我 和精心挑選的特薄', '精油蠟燭的香味 彌漫在整個房間', '酒紅的小臉 迷茫的雙眼', '手搭在你的腰間', '眼神的焦點 月色的光線', '照亮你的要點', '問著愛不愛我 要問幾次才會夠呢', '不管快不快樂 其他的顧慮好像有點多', '興奮的電流穿越身體 讓你只想對我沈迷', '好好對現在的你珍惜 是我最多的誠意', '所以放心地卸下你身上的武裝', '穿上只屬於我 女王的服裝 內心的渴望', '如潮水般湧出', '當你也不再保留 詮釋著純真', '只剩下身為動物 天生原始的本能', '驅使你的慾望 你我四目相望', '決定權在你手上 下一步你想怎麼樣']",愛
y1fun9,人·心,"['feat. 林筠軒', '人啊 在不停追啊', '追著那些理想還有夢想', '人啊 在不停追啊', '在天亮的時候我還是睡不著', '喝了三杯清酒好像還不算早', '一定要 學著愛一個誰才算成熟嗎', '感覺一個人這樣不也挺好', '我每天 每天都在這樣麻痺自己', '人來人往 過眼雲煙 在我最無力的時候', '也許這是上天在考驗我', '提醒我 不要放棄繼續往前走', '學著放棄太多 不是因為我有太多', '而是不要忘記自己還有呼吸和脈搏', '不想為了誰才開口 才提醒我來過', '那些美好和快樂 都深深烙印在我記憶中', '他也離開了我好久', '真真切切的倒映在縫隙中的領口', '在以後 哪個下雨的午後', '還沒有忘記 也不會忘記 我是個', '人啊 在不停追啊', '追著那些理想還有夢想', '人啊 在不停追啊', '追啊']",愛
Claudia Koh,空明,"['Homing', '#空明# Homing#許東晴', '大概都已凋零', '尋路幾千公里總需要夢醒', '夜幕曙光人間美景', '曾是一起嚮往今天卻滅了蹤影', '而信念一早似風輕', '流散後彷彿也奪去我本性', '你在哪自你遠走了路向不明', '再沒法為了過去搜證', '又晦又暗在世界失散就似失明', '把分秒劃去敲碎沒有憧憬', '唯有為哀傷作反省', '鬧市中太多人', '無謂的幾千句通通記在心', '煩擾太多干涉命運', '才令你別去留下傷痕', '我曾發問想質詢世人', '曾探路想跨過天崩', '曾祈求?一個吻', '你在哪自你遠走了路向不明', '再沒法為了過去搜證', '又晦又暗在世界失散就似失明', '把分秒劃去敲碎不知反應', '(何以在孤單一個浮', '還染著一身污垢)', '你遺下我難面對哀愁', '崩壞了脆弱身軀如何自敕', '直到盡碎外殼散進春秋', '就發現了在我最深處逐漸浮起', '仍在笑的你為我分憂', '尤似月色皎潔剔透', 'Look at us. we are one', 'You are here in my heart', ""Coz' I know you're close even we're miles apart""]",愛
沉霧,你拿了把刀，去了場槍戰,"['我看見你啦 看見你啦', '你眼角的 傷痕', '我聽見那聲 聽見那聲', '你落下的 淚痕', '曾許下諾言的 守護者', '如今 成了 帶來傷痕的那個人', '你拿著一把刀 走入了戰場', '戰場上 那人啊 開了 槍', '我看見你啦  看見你啦', '我聽見那聲 聽見那聲 你落下的淚痕', '曾許下諾言的 守護者', '如今 成了 帶來傷痕的那個人', '你拿著一把刀 走入了戰場', '戰場上 那人啊 開了槍', '你拿著一把刀 走入了戰場', '戰場上 那人啊 開了槍', '我還能做什麼', '我還能做什麼', '我還能做什麼', '我還能做什麼']",喜
陳凱洲,數學人生,"['都?數學 枯燥而無味', '連諾貝爾獎 都沒有留位', '身份如此卑微 OH~', '其實數學 不止錯與對', '充滿變化的 概念和思維', '要用心去體會 OH~', '數學課常常爭搶', '體育老師的歡樂時光', '可我的數學試卷', '分數卻沒有比體育強', '數學的難題 輔助?解謎', '而生活的難題 在於內心', '阿拉伯數字奧秘', '就由我陪你 探索謎底 千萬不要都選C', 'BA~ BA~ BA~', '千萬不要都選C', 'BA~ BA~ BA~', '千萬不要都選C', '雞兔同籠的奧秘', '就由我陪你 探索謎底', '向量數列的奧秘', '就由我陪你 探索謎底 千萬不要都選C', '前行的路 也許不平坦', '就像拋物? 高低也自然', '管別人怎?想 OH~', '?值再高 也需要內涵', '未來無極限 未知的答案', '本就邊走邊看 OH~', '建立坐標算一算', '各有多少機會和挑戰', '倒也沒那?麻煩', '遇見死胡同就轉個彎', '數學的難題 輔助?解謎', '而生活的難題 在於內心', '阿拉伯數字奧秘', '就由我陪你 探索謎底 千萬不要都選C', 'BA~ BA~ BA~', '千萬不要都選C', 'BA~ BA~ BA~', '千萬不要都選C', '數學的難題 輔助?解謎', '而生活的難題 在於內心', '他們?人生真諦', '做加減乘除 全靠自己 千萬不要都選C']",喜
李付,出軌的男人,"['每天都是早出晚歸', '有時甚至幾天不回', '渾身上下一身酒味', '衣裳不整如此狼狽', '常常出去和誰曖昧', '一天到晚喝個爛醉', '傷心難過獨自體會', '未來日子該如何面對', '你這個出軌的男人', '是如此的殘忍', '我愛你愛得那麼深', '獨守空房沒人疼', '你這個變心的男人', '給我無盡的傷痕', '家事心事都不過問', '寂寞深夜我傻傻的等', '每天都是早出晚歸', '有時甚至幾天不回', '渾身上下一身酒味', '衣裳不整如此狼狽', '常常出去和誰曖昧', '一天到晚喝個爛醉', '傷心難過獨自體會', '未來日子該如何面對', '你這個出軌的男人', '是如此的殘忍', '我愛你愛得那麼深', '獨守空房沒人疼', '你這個變心的男人', '給我無盡的傷痕', '家事心事都不過問', '寂寞深夜我傻傻的等', '你這個出軌的男人', '是如此的殘忍', '我愛你愛得那麼深', '獨守空房沒人疼', '你這個變心的男人', '給我無盡的傷痕', '家事心事都不過問', '寂寞深夜我傻傻的等']",愛
搖滾女王,分手萬萬歲,"['人前假裝快樂', '人後獨自難過 受夠了這種生活', '人前要裝溫柔', '人後獨自淚流 受夠了為愛低頭', '分手也不錯 當你從不存在過', '分手也不錯 我又找到了自我', '分手也不錯 從此我徹底解脫', '分手萬萬歲再也不受你的罪', '分手萬萬歲黑鍋再也不用背', '分手也不錯 現在感覺就不錯', '分手也快樂 原來離開才解脫', '分手萬萬歲 海闊天空任我飛', '分手萬萬歲 再也不用做傀儡', '分手萬萬歲 oh 分手萬萬歲', '分手萬萬歲 oh 分手萬萬歲', '人前假裝快樂 人後獨自難過', '受夠了這種生活', '人前要裝溫柔 人後獨自淚流', '受夠了為愛低頭', '分手也不錯 當你從不存在過', '分手也不錯 我又找到了自我', '分手也不錯 從此我徹底解脫', '分手萬萬歲再也不受你的罪', '分手萬萬歲黑鍋再也不用背', '分手也不錯 現在感覺就不錯', '分手也快樂 原來離開才解脫', '分手萬萬歲 海闊天空任我飛', '分手萬萬歲 再也不用做傀儡', '分手萬萬歲 oh 分手萬萬歲', '分手萬萬歲 oh 分手萬萬歲', '不再對你唯唯諾諾', '不再聽你']",哀
張舜原,追夢,"['握住你的手溫暖在我心', '跟你向前走步伐多自信', '初心是堅貞如一的信仰', '信仰是頂天立地的脊梁', '握住你的手心中滿豪情', '邁向新徵程步伐更堅定', '使命是不負人民的期待', '擔當是我將無我的豪邁', '走過風雨如磐  走過萬水千山', '我們跟著你一起去追夢', '小康夢幸福夢中國夢', '啊!跟著你 我們奔向新徵程', '愛著神州如畫  愛著壯麗中華', '我們跟著你一起去追夢', '強國夢復興夢中國夢', '啊!跟著你 我們奔向新徵程']",愛
劉丞育,社畜病態,"['滴答滴答 雨滴的咆哮', '無邊界籠罩 警示著地表', '滴答滴答 大笨鐘的預感', '無時的搖蕩 催眠了信仰', '還在不在 你的良心籌碼', '性命都不保 還有誰會理睬', '不復存在 當初憧憬夢想', '如今的獎牌 奪得誰的青睞', '尊嚴早已僵化 無法動彈', '若天幕降臨 自有人狂歡', '一動不動 抱歉現在沒空', '求求你回收 所有的冷漠', '文墨不通 抱歉我的放縱', '不要感到煩憂 我會愧疚', '下一站 安排你進場', '幫我完善 人畜展覽', '覬覦 那些榮耀', '享譽盛名卻忽略人品潰爛', '苟且殘喘直到成為誰的專欄', '或許哪天終於被誰暗地裡拆穿', '自信早已吹散 拼湊不來', '濃魅煙熏妝 掩飾了傷疤', '嘩眾取寵 抱歉請你自重', '原諒我的臃腫 剝奪你自由', '默默展露 感謝你的寬容', '引來冷眼嫉妒 有得你好受', '毫無防備闖入精神病院', '還奢望能帶走什麼禮餽', '不由自主 每一步得慎重', '若不幸跌落 將被人性淹沒', '寄託思愁 唯一的脈搏', '從冷血病垢 找回你遺落的初衷']",愛
陳潔儀,誤解,"['聽說還有平行宇宙的世界', '尋找時空隧道能讓人穿越', '那是否可以讓我們 先倒轉一點點', '聽說靈魂占身體幾分之幾', '到現在也還是個未解之謎', '那是否能借這身軀 換一個 自己', '如果都能在遇見之前 來得及', '那是誤解', '才有了眼前這美麗的一切', '我們也都應該 忘著昨天 想著明天', '何必要急著說 告別', '那是誤解', '才讓過去的時間值得懷念', '遺憾也終將會 時過境遷', '有的瞬間 早已經是 永遠', '聽說靈魂占身體幾分之幾', '到現在也還是個未解之謎', '那是否能借這身軀 換一個 曾經', '如果這會是一場驚喜 我願意', '那是誤解', '才有了眼前這美麗的一切', '我們也都應該 忘著昨天 想著明天', '何必要急著說 告別', '那是誤解', '才讓過去的時間值得懷念', '遺憾也終將會 時過境遷', '有的瞬間 早已經是 永遠', '如果那些美好是因為誤解', '那現在也已經是滄海桑田']",愛
王力宏,天地龍鱗,"['大型紀錄片 紫禁城 主題歌', '這江山 我起筆', '民族血脈又幾萬里', '幾世紀六百年裡', '龍的傳人歷經風雨', '這京畿 中軸地', '一如君子氣節不移', '九龍壁瓦上琉璃', '歷史從這衰落又崛起', '這龍鱗卻曾經 鏗鏘落地猶如碎冰', '一片鱗一寸心 故事飄搖我不忍聽', '人守禮心守靜 悠揚古琴彈君子心', '我清醒等回音 盤旋泱泱華夏文明', '敬過去 我落筆', '東方遼闊的黃土地', '山水裡潑墨抹去', '只見嶙峋華夏骨氣', '紫禁城 神武門', '多少滄桑鑄造中華魂', '我繼承文化深耕', '突破變局去扭轉乾坤', '這龍鱗卻曾經 鏗鏘落地猶如碎冰', '一片鱗一寸心 以小成其大我堅信', '將民族的命運 昂首抬起再次復興', '遊天地尋龍鱗 龍的血脈蔚然成林']",愛
哈布爾,小龍哥哥,"['放眼望去望不到邊的呦', '是後山腳下的那片榆樹林', '藏在那心裡放不下的呦', '是心愛的', '放眼望去望不到邊的呦', '是東山腳下的那片杏樹林', '是英俊的小龍哥哥那雙黑眼睛', '太陽下的青松樹呦', '待人溫和的小龍哥哥呦', '是個可以托付終身的人', '待人溫和的小龍哥哥呦', '是個可以托付終身的人', '為人忠厚的小龍哥哥呦', '是個可以跟隨一生的人']",愛
哈布爾,美好的品格,"['你是那樣完美無瑕', '好像明鏡閃耀五彩光芒', '怎麼看也看不夠呀', '是你美麗迷人的臉龐', '心愛的人啊', '我的心', '像是被你搶去了一樣', '你像水中盛開的蓮花', '吐露著甘甜迷人的芬芳', '怎麼贊也贊不夠呀', '是你可愛迷人的臉龐', '心愛的人啊', '我的心', '像是被你搶去了一樣']",愛
哈布爾,薄茹萊,"['用那最好的山荊樹呀', '阿爸為你扎搖籃', '清晨黃昏的風微涼', '阿媽懷抱你躲風寒', '額吉德', '阿傑達', '波茹來別哭啦', '媽媽她不在身旁', '用那最好的榆樹枝呀', '阿爸為你做搖車', '漆黑寒冷的深夜裡', '阿媽懷抱你多溫暖', '額吉德', '阿傑達', '波茹來別哭啦', '媽媽她不在身旁', '山間歡跳的灰山兔呀', '離開山崗多孤單', '年幼的孩子波茹來', '離開了阿媽多孤單', '額吉德', '阿傑達', '波茹來別哭啦', '媽媽她不在身旁']",愛
DoubleJam,Don't Get Me Wrong,"['Hook', ""Don't get me wrong"", 'Yes I always do my own shit', '做音樂只是為了自己爽', ""Don't get me wrong"", '無意冒犯但你說了什麼其實根本就沒放在心上', ""Don't get me wrong"", ""Don't get me"", ""Don't get me Wrong"", ""Don't get me wrong wrong wrong"", ""Don't get me wrong wrong wrong"", 'Verse 1 (寬仔 KayC)', '睜眼閉眼一瞬間又會是新的一天', '唯一不變的就是從沒參考你的意見', '怎麼又一成不變', '又心不甘情不願', '那偷偷告訴你但我其實會聽梯依恩的勸', '成功與否掌握在我手裡', '我是球員兼裁判', '後生可畏賺我該賺的還比天才賺', '「賠錢貨自以為能值得千百萬」', '等我上了排行榜才知道合約應該先買斷', 'Ride with my homies', 'Just slide with my squad', '來不及聽廢話', 'Get high with my mob', '搬弄是非的婊子總是想要聽新的掛', '左耳進 右耳出', 'Show the Middle finger up', 'Verse 2 (Farmer)', '大家以為我是個善良的胖子 是幌子', '我根本就懶得跟你們一起瞎攪和', '從頭到尾 對我人設都搞錯', '那只是給你面子 假裝唯唯諾諾', '欸Farmer 這段旋律要跟上', '你不知道我隨便哼的大家都會唱', '我說真心話歌難聽怎麼會上排行榜', ""說真心話 別夜郎自大 Fuck Don't get me wrong"", '做歌做什麼曲風都看心情', '小屁孩 roll到roll到室內看到蜻蜓', '戴頭套帶手套不戴套那都是渣男', '無病呻吟 阿彌陀佛 最後都說自殺難']",喜
DoubleJam,Lace Up,"['Hook', 'Lace up', 'Face up', 'Whole lotta mob', '成群結黨', '三更半夜', '怎麼還在街上', ""Ain't worried about Nuthin"", '許個願望', '走在路上還是邊搖邊晃', '準備好 那就先上', 'Verse 1 (KayC 寬仔)', 'Straight up', ""3 o'clock"", '搖擺在馬路上', '來不及造冊所以勞工補助無法入帳', 'Dat shit fucked up', '但像我說的', '壞心情 locked up', '不講更多了 衣服都脫了', '活在當下反正從來就都不是為錢而活著', 'Brotherhood 4life', '兄弟們都還在', 'Tell me why u surprise', '沒有做虧心事才怪', ""Please don't kill my vibe"", 'Stay loyal till I die', 'Grinding Grinding all my life', '我就是球員兼裁判', ""Don't ask me why"", 'Verse 2 (KayC寬仔&Farmer)', '5.4.3.2.1', '一通電話全都到', 'Hop in the car', '身上沒錢還是能在外走跳', '得意的飄', '得意的笑', '茶餘飯後開隔壁的料', '一個接一個爆', '(Bow bow bow bow bow)', '抱一個料', '我是總舖師', '幾杯黃湯下肚哥們膽子放很開', '買單就是老大', '把她肚子搞大', '夜店屠龍刀被放鳥在那微風松高', '城門城門雞蛋糕', '沒錢變小奶貓', '沒錢是假的', '什麼是真的', '跟我混的兄弟沒有一個過的糟', '面對面', '數著錢', '買貨用藝fun卷', '等等約系上見', '搞得好像賺黑錢', '查某Five-O', '08都沒在差小', '兄弟四處逍遙', '管他經濟蕭條', '走跳在馬路上', '拼shot 一搭一唱', '越來越上癮', '不可能暫停', '到處亂晃人多像蒼蠅', '走跳在馬路上', '人生遊戲一場', '越來越上癮', '不可能暫停', '到處亂晃人多像蒼蠅']",愛
